State,Year,Party,Candidate,Votes
KS,2008,Democrat,Obama,514765
KS,2012,Democrat,Obama,440726
KS,2016,Democrat,Clinton,427005
KS,2020,Democrat,Biden,570323
KS,2024,Democrat,Harris,532475
KY,2004,Democrat,Kerry,712733
KY,2008,Democrat,Obama,751985
KY,2012,Democrat,Obama,679370
KY,2016,Democrat,Clinton,628854
KY,2020,Democrat,Biden,772474
KY,2024,Democrat,Harris,700921
LA,2004,Democrat,Kerry,820299
LA,2008,Democrat,Obama,782989
LA,2012,Democrat,Obama,809141
LA,2016,Democrat,Clinton,780154
LA,2020,Democrat,Biden,856034
LA,2024,Democrat,Harris,766870
MA,2004,Democrat,Kerry,1803800
MA,2008,Democrat,Obama,1904097
MA,2012,Democrat,Obama,1921290
MA,2016,Democrat,Clinton,1995196
MA,2020,Democrat,Biden,2382202
MA,2024,Democrat,Harris,2072571
MD,2004,Democrat,Kerry,1334493
MD,2008,Democrat,Obama,1629467
MD,2012,Democrat,Obama,1677844
MD,2016,Democrat,Clinton,1677928
MD,2020,Democrat,Biden,1985023
MD,2024,Democrat,Harris,1894275
ME,2004,Democrat,Kerry,396842
ME,2008,Democrat,Obama,421923
ME,2012,Democrat,Obama,401306
ME,2016,Democrat,Clinton,357735
ME,2020,Democrat,Biden,435072
ME,2024,Democrat,Harris,436512
MI,2004,Democrat,Kerry,2479183
MI,2008,Democrat,Obama,2872579
MI,2012,Democrat,Obama,2564569
MI,2016,Democrat,Clinton,2268839
MI,2020,Democrat,Biden,2804040
MI,2024,Democrat,Harris,2736533
MN,2004,Democrat,Kerry,1445014
MN,2008,Democrat,Obama,1573354
MN,2012,Democrat,Obama,1546167
MN,2016,Democrat,Clinton,1367716
MN,2020,Democrat,Biden,1717077
MN,2024,Democrat,Harris,1519032
MO,2004,Democrat,Kerry,1259171
MO,2008,Democrat,Obama,1441911
MO,2012,Democrat,Obama,1223796
MO,2016,Democrat,Clinton,1071068
MO,2020,Democrat,Biden,1253014
MO,2024,Democrat,Harris,1199861
MS,2004,Democrat,Kerry,458094
MS,2008,Democrat,Obama,554662
MS,2012,Democrat,Obama,562949
MS,2016,Democrat,Clinton,485131
MS,2020,Democrat,Biden,539398
MS,2024,Democrat,Harris,429231
MT,2004,Democrat,Kerry,173710
MT,2008,Democrat,Obama,231667
MT,2012,Democrat,Obama,201839
MT,2016,Democrat,Clinton,177709
MT,2020,Democrat,Biden,244786
MT,2024,Democrat,Harris,231761
NE,2004,Democrat,Kerry,254328
NE,2008,Democrat,Obama,333319
NE,2012,Democrat,Obama,302081
NE,2016,Democrat,Clinton,284494
NE,2020,Democrat,Biden,374583
NE,2024,Democrat,Harris,369966
NH,2004,Democrat,Kerry,340511
NH,2008,Democrat,Obama,384826
NH,2012,Democrat,Obama,369561
NH,2016,Democrat,Clinton,348526
NH,2020,Democrat,Biden,424937
NH,2024,Democrat,Harris,418496
NJ,2004,Democrat,Kerry,1911430
NJ,2008,Democrat,Obama,2215422
NJ,2012,Democrat,Obama,2125101
NJ,2016,Democrat,Clinton,2148278
NJ,2020,Democrat,Biden,2608400
NJ,2024,Democrat,Harris,2218076
NM,2004,Democrat,Kerry,370942
NM,2008,Democrat,Obama,472422
NM,2012,Democrat,Obama,415335
NM,2016,Democrat,Clinton,385234
NM,2020,Democrat,Biden,501614
NM,2024,Democrat,Harris,478802
NV,2004,Democrat,Kerry,397190
NV,2008,Democrat,Obama,533736
NV,2012,Democrat,Obama,531373
NV,2016,Democrat,Clinton,539260
NV,2020,Democrat,Biden,703486
NV,2024,Democrat,Harris,705197
NY,2004,Democrat,Kerry,4314280
NY,2008,Democrat,Obama,4804945
NY,2012,Democrat,Obama,4485741
NY,2016,Democrat,Clinton,4556118
NY,2020,Democrat,Biden,5244886
NY,2024,Democrat,Harris,4413634
NC,2004,Democrat,Kerry,1525849
NC,2008,Democrat,Obama,2142651
NC,2012,Democrat,Obama,2178391
NC,2016,Democrat,Clinton,2189316
NC,2020,Democrat,Biden,2684292
NC,2024,Democrat,Harris,2715380
ND,2004,Democrat,Kerry,111052
ND,2008,Democrat,Obama,141278
ND,2012,Democrat,Obama,124827
ND,2016,Democrat,Clinton,93758
ND,2020,Democrat,Biden,115042
ND,2024,Democrat,Harris,112327
OH,2004,Democrat,Kerry,2741167
OH,2008,Democrat,Obama,2940044
OH,2012,Democrat,Obama,2827709
OH,2016,Democrat,Clinton,2394164
OH,2020,Democrat,Biden,2679165
OH,2024,Democrat,Harris,2481269
OK,2004,Democrat,Kerry,503966
OK,2008,Democrat,Obama,502496
OK,2012,Democrat,Obama,443547
OK,2016,Democrat,Clinton,420375
OK,2020,Democrat,Biden,503890
OK,2024,Democrat,Harris,499599
OR,2004,Democrat,Kerry,943163
OR,2008,Democrat,Obama,1037291
OR,2012,Democrat,Obama,970488
OR,2016,Democrat,Clinton,1002106
OR,2020,Democrat,Biden,1340383
OR,2024,Democrat,Harris,1228410
PA,2004,Democrat,Kerry,2938095
PA,2008,Democrat,Obama,3276363
PA,2012,Democrat,Obama,2990274
PA,2016,Democrat,Clinton,2926441
PA,2020,Democrat,Biden,3458229
PA,2024,Democrat,Harris,3421247
RI,2004,Democrat,Kerry,259765
RI,2008,Democrat,Obama,296571
RI,2012,Democrat,Obama,279677
RI,2016,Democrat,Clinton,252525
RI,2020,Democrat,Biden,307486
RI,2024,Democrat,Harris,285156
SC,2004,Democrat,Kerry,661699
SC,2008,Democrat,Obama,862449
SC,2012,Democrat,Obama,865941
SC,2016,Democrat,Clinton,855373
SC,2020,Democrat,Biden,1091541
SC,2024,Democrat,Harris,1028452
SD,2004,Democrat,Kerry,149244
SD,2008,Democrat,Obama,170924
SD,2012,Democrat,Obama,145039
SD,2016,Democrat,Clinton,117458
SD,2020,Democrat,Biden,150471
SD,2024,Democrat,Harris,146859
TN,2004,Democrat,Kerry,1036477
TN,2008,Democrat,Obama,1087437
TN,2012,Democrat,Obama,960709
TN,2016,Democrat,Clinton,870695
TN,2020,Democrat,Biden,1143711
TN,2024,Democrat,Harris,1056010
TX,2004,Democrat,Kerry,2832704
TX,2008,Democrat,Obama,3528633
TX,2012,Democrat,Obama,3308124
TX,2016,Democrat,Clinton,3877868
TX,2020,Democrat,Biden,5259126
TX,2024,Democrat,Harris,4835250
UT,2004,Democrat,Kerry,241199
UT,2008,Democrat,Obama,327670
UT,2012,Democrat,Obama,251813
UT,2016,Democrat,Clinton,310676
UT,2020,Democrat,Biden,560282
UT,2024,Democrat,Harris,562566
VA,2004,Democrat,Kerry,1454742
VA,2008,Democrat,Obama,1959532
VA,2012,Democrat,Obama,1971820
VA,2016,Democrat,Clinton,1981473
VA,2020,Democrat,Biden,2413568
VA,2024,Democrat,Harris,2235958
VT,2004,Democrat,Kerry,184067
VT,2008,Democrat,Obama,219262
VT,2012,Democrat,Obama,199239
VT,2016,Democrat,Clinton,178573
VT,2020,Democrat,Biden,242820
VT,2024,Democrat,Harris,235791
WA,2004,Democrat,Kerry,1510201
WA,2008,Democrat,Obama,1750848
WA,2012,Democrat,Obama,1755396
WA,2016,Democrat,Clinton,1742718
WA,2020,Democrat,Biden,2369612
WA,2024,Democrat,Harris,2245849
WI,2004,Democrat,Kerry,1489504
WI,2008,Democrat,Obama,1677211
WI,2012,Democrat,Obama,1620985
WI,2016,Democrat,Clinton,1382536
WI,2020,Democrat,Biden,1630866
WI,2024,Democrat,Harris,1667881
WV,2004,Democrat,Kerry,326541
WV,2008,Democrat,Obama,303857
WV,2012,Democrat,Obama,238269
WV,2016,Democrat,Clinton,188794
WV,2020,Democrat,Biden,235984
WV,2024,Democrat,Harris,214309
WY,2004,Democrat,Kerry,70776
WY,2008,Democrat,Obama,82868
WY,2012,Democrat,Obama,69286
WY,2016,Democrat,Clinton,55973
WY,2020,Democrat,Biden,73491
WY,2024,Democrat,Harris,69527
Total,2004,Democrat,Kerry,59028444
Total,2008,Democrat,Obama,69498516
Total,2012,Democrat,Obama,65915795
Total,2016,Democrat,Clinton,65853514
Total,2020,Democrat,Biden,81283501
Total,2024,Democrat,Harris,74356566
AK,2004,Third Party,All Others,10684
AK,2008,Third Party,All Others,8762
AK,2012,Third Party,All Others,13179
AK,2016,Third Party,All Others,38767
AK,2020,Third Party,All Others,15801
AK,2024,Third Party,All Others,13717
AL,2004,Third Party,All Others,13122
AL,2008,Third Party,All Others,19794
AL,2012,Third Party,All Others,22717
AL,2016,Third Party,All Others,75570
AL,2020,Third Party,All Others,32488
AL,2024,Third Party,All Others,21324
AR,2004,Third Party,All Others,12094
AR,2008,Third Party,All Others,26290
AR,2012,Third Party,All Others,27315
AR,2016,Third Party,All Others,65310
AR,2020,Third Party,All Others,34490
AR,2024,Third Party,All Others,26530
AZ,2004,Third Party,All Others,14767
AZ,2008,Third Party,All Others,28657
AZ,2012,Third Party,All Others,40368
AZ,2016,Third Party,All Others,159597
AZ,2020,Third Party,All Others,53497
AZ,2024,Third Party,All Others,36217
CA,2004,Third Party,All Others,166541
CA,2008,Third Party,All Others,275646
CA,2012,Third Party,All Others,344304
CA,2016,Third Party,All Others,943998
CA,2020,Third Party,All Others,384223
CA,2024,Third Party,All Others,502753
CO,2004,Third Party,All Others,27343
CO,2008,Third Party,All Others,39200
CO,2012,Third Party,All Others,61177
CO,2016,Third Party,All Others,238893
CO,2020,Third Party,All Others,88021
CO,2024,Third Party,All Others,85243
CT,2004,Third Party,All Others,27455
CT,2008,Third Party,All Others,19597
CT,2012,Third Party,All Others,18985
CT,2016,Third Party,All Others,74133
CT,2020,Third Party,All Others,28309
CT,2024,Third Party,All Others,29515
DC,2004,Third Party,All Others,3360
DC,2008,Third Party,All Others,2686
DC,2012,Third Party,All Others,5313
DC,2016,Third Party,All Others,15715
DC,2020,Third Party,All Others,8447
DC,2024,Third Party,All Others,2778
DE,2004,Third Party,All Others,3378
DE,2008,Third Party,All Others,4579
DE,2012,Third Party,All Others,5853
DE,2016,Third Party,All Others,23084
DE,2020,Third Party,All Others,7475
DE,2024,Third Party,All Others,7588
FL,2004,Third Party,All Others,61744
FL,2008,Third Party,All Others,63046
FL,2012,Third Party,All Others,72976
FL,2016,Third Party,All Others,297178
FL,2020,Third Party,All Others,101680
FL,2024,Third Party,All Others,100384
GA,2004,Third Party,All Others,21472
GA,2008,Third Party,All Others,31604
GA,2012,Third Party,All Others,47535
GA,2016,Third Party,All Others,147665
GA,2020,Third Party,All Others,64473
GA,2024,Third Party,All Others,38913
HI,2004,Third Party,All Others,3114
HI,2008,Third Party,All Others,7131
HI,2012,Third Party,All Others,7024
HI,2016,Third Party,All Others,33199
HI,2020,Third Party,All Others,11475
HI,2024,Third Party,All Others,9996
IA,2004,Third Party,All Others,13053
IA,2008,Third Party,All Others,25804
IA,2012,Third Party,All Others,29019
IA,2016,Third Party,All Others,111379
IA,2020,Third Party,All Others,34138
IA,2024,Third Party,All Others,22631
ID,2004,Third Party,All Others,8114
ID,2008,Third Party,All Others,15670
ID,2012,Third Party,All Others,18576
ID,2016,Third Party,All Others,91435
ID,2020,Third Party,All Others,26794
ID,2024,Third Party,All Others,24594
IL,2004,Third Party,All Others,36826
IL,2008,Third Party,All Others,71844
IL,2012,Third Party,All Others,87286
IL,2016,Third Party,All Others,299680
IL,2020,Third Party,All Others,114938
IL,2024,Third Party,All Others,80152
IN,2004,Third Party,All Others,19553
IN,2008,Third Party,All Others,31367
IN,2012,Third Party,All Others,51104
IN,2016,Third Party,All Others,144546
IN,2020,Third Party,All Others,60855
IN,2024,Third Party,All Others,49586
KS,2004,Third Party,All Others,16307
KS,2008,Third Party,All Others,21452
KS,2012,Third Party,All Others,26611
KS,2016,Third Party,All Others,86379
